epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,13288.7,1.61446,1.62223,1.07877,0.70567,0.77831,0.82636,0.48765,1.63501,1.40592,1.24177,5.616e-05,5.616e-05,5.616e-05
42,13580.8,1.61016,1.58478,1.08038,0.708,0.76106,0.82972,0.47942,1.68066,1.4078,1.25825,5.0814e-05,5.0814e-05,5.0814e-05
43,13872.1,1.58175,1.55306,1.07832,0.69816,0.7654,0.82301,0.46241,1.71619,1.43067,1.27097,4.5468e-05,4.5468e-05,4.5468e-05
44,14164.8,1.5905,1.51276,1.07851,0.72076,0.76213,0.83693,0.4957,1.6291,1.39956,1.23973,4.0122e-05,4.0122e-05,4.0122e-05
45,14456.2,1.57386,1.51284,1.07156,0.70325,0.75917,0.8189,0.46839,1.66918,1.39288,1.25969,3.4776e-05,3.4776e-05,3.4776e-05
46,14746.8,1.56968,1.48997,1.07368,0.71036,0.75375,0.82276,0.47007,1.69688,1.39946,1.26525,2.943e-05,2.943e-05,2.943e-05
47,15038.6,1.56862,1.50423,1.07852,0.69994,0.76456,0.82806,0.4829,1.659,1.38112,1.24646,2.4084e-05,2.4084e-05,2.4084e-05
48,15337.9,1.57412,1.49018,1.06632,0.69089,0.78606,0.83846,0.49499,1.63413,1.35681,1.23672,1.8738e-05,1.8738e-05,1.8738e-05
49,15631.2,1.56997,1.5034,1.06124,0.71622,0.73383,0.83411,0.48421,1.66198,1.35595,1.25252,1.3392e-05,1.3392e-05,1.3392e-05
50,15921.9,1.56291,1.47296,1.06892,0.72137,0.74586,0.83261,0.48187,1.66585,1.35473,1.25645,8.046e-06,8.046e-06,8.046e-06
